NavioShip,OperaçOperat,BandeiraFlag,Cheg/Arrivald/m/y,MercadoriaGoods,PesoWeight
CBO IPANEMA,EMB,BRASILEIRA,28/03/2025 06:00:00,CARGA GERAL,1
LARCH ARROW,EMB,BAHAMENSE,21/01/2025,PAPEL E CELULOSE,28100
TENCA ARROW,EMB,BAHAMENSE,22/01/2025 06:00:00,PAPEL E CELULOSE,31000
KALIMANTAN EXPRESS,EMB,SINGAPURENSE,23/01/2025,PAPEL E CELULOSE,47500
COSCO SHIPPING TENG DA,EMB,CHINESA,27/01/2025 16:29:00,PAPEL E CELULOSE,21200
MSC LOS ANGELES,EMBDESC,LIBERIANA,13/06/2024 10:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180018000
ALS VESTA,EMBDESC,SINGAPURENSE,05/08/2024 16:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAIPO,EMB,LIBERIANA,24/11/2024 17:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,1620
CMA CGM MAUPASSANT,EMBDESC,MALTESA,15/01/2025 13:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
JAMAICA EXPRESS,EMBDESC,ILHAS MARSHALL,16/01/2025 21:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,3220210
NC BRUMA (REB S/L),EMBDESC,BRASILEIRA,17/01/2025 07:25:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,45006300
NAVEGANTES EXPRESS,EMBDESC,SINGAPURENSE,19/01/2025 01:48:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,21852180
CMA CGM PLATON,EMBDESC,MALTESA,19/01/2025 11:48:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
BF HAMBURG,EMBDESC,LIBERIANA,20/01/2025 06:12:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,126001800
MSC AGADIR,EMBDESC,HONG KONG,20/01/2025 08:42:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180001800
MSC GAYANE,EMBDESC,LIBERIANA,20/01/2025 17:30:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000
ZIM BALTIMORE,EMBDESC,LIBERIANA,20/01/2025 20:30:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
LOG-IN POLARIS,EMBDESC,BRASILEIRA,20/01/2025 20:35:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
ALESSIA,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,108003600
ALS VESTA,EMBDESC,SINGAPURENSE,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,54005400
AS CASPRIA,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
BREMERHAVEN EXPRESS,EMBDESC,MALTESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,108026226
BRIGHT,EMBDESC,PORTUGUESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,54005400
BROOKLYN BRIDGE,EMBDESC,JAPONESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,153001530
CMA CGM PLATON,EMBDESC,MALTESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
ENSENADA,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
LOG-IN EVOLUTION,EMBDESC,BRASILEIRA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
LOG-IN EXPERIENCE (REB),EMBDESC,BRASILEIRA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
MAERSK MONTE ALEGRE,EMBDESC,SINGAPURENSE,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MSC ALICANTE,EMBDESC,MALTESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400
MSC ALIYA,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000
MSC BARCELONA,EMB,MALTESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,1800
MSC CARMELITA,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000
MSC CHIARA X,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800
MSC CLEA,EMBDESC,PORTUGUESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800
MSC DOMITILLE,EMBDESC,PORTUGUESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800
MSC MAXINE,EMBDESC,PORTUGUESA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180012600
MSC NOA,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400
MSC PEGASUS VII,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400
MSC PILAR VI,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000
MSC PUSAN,EMBDESC,CIPRIOTA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800
MSC SANTA MARIA,EMBDESC,PANAMENHA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800
NC BREDA (REB S/L),EMBDESC,BRASILEIRA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,45006300
PALENA,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,162015300
PARANAGUA EXPRESS,EMBDESC,SINGAPURENSE,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,21852180
SEATTLE C,EMBDESC,CIPRIOTA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,180010800
TOKYO BAY,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,162015300
TRAIGUEN,EMBDESC,LIBERIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
XIAMEN EXPRESS,EMBDESC,HONG KONG,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,17370360
