Chegada,Embarcação,Mercadoria,Saldo Total,Sentido
18/01/2025 09:48,ALPINE LIBERTY,OLEO DE SOJA,,Exp
18/01/2025 21:00,POLARIS LEADER,VEICULOS,,Imp/Exp
18/01/2025 21:00,BF HAMBURG,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
19/01/2024 18:00,MAERSK EL PALOMAR,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
20/01/2025 00:12,GREEN VITORIA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
11/01/2025 16:48,JEN LR,MILHO,,Exp
10/01/2025 00:00,KERKYRA,FARELO DE SOJA,,Exp
08/01/2025 23:24,PEAK RAINIER,FARELO DE SOJA,,Exp
04/01/2025 00:24,AFRICAN TOUCAN,OUT.TRIGOS E MISTURAS DE TRIGO,,Imp
03/12/2024 04:30,CL XINYU,SULFATO DE AMONIO,,Imp
