Arrival Date,Ship,Product,Volume,Direction,Port
07/02/2025 06:00:00,HOS REMINGTON,CARGA GERAL,1,EXP,SANTOS
17/02/2025 06:00:00,HOS TAURUS (REB),CARGA GERAL,1,EXP,SANTOS
20/02/2025 06:00:00,CBO FLAMENGO,CARGA GERAL,1,EXP,SANTOS
20/02/2025 06:00:00,HOS COLT,CARGA GERAL,1,EXP,SANTOS
15/03/2025 06:00:00,NORMAND MAXIMUS,CARGA GERAL,1,EXP,SANTOS
28/03/2025 06:00:00,CBO IPANEMA,CARGA GERAL,1,EXP,SANTOS
21/01/2025,LARCH ARROW,PAPEL E CELULOSE,28100,EXP,SANTOS
22/01/2025 06:00:00,TENCA ARROW,PAPEL E CELULOSE,31000,EXP,SANTOS
23/01/2025,KALIMANTAN EXPRESS,PAPEL E CELULOSE,47500,EXP,SANTOS
27/01/2025 16:29:00,COSCO SHIPPING TENG DA,PAPEL E CELULOSE,21200,EXP,SANTOS
13/06/2024 10:00:00,MSC LOS ANGELES,CONTEINERES CHEIOSCONTEINERES CHEIOS,180018000,Other,SANTOS
05/08/2024 16:00:00,ALS VESTA,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800,Other,SANTOS
24/11/2024 17:00:00,MAIPO,CONTEINERES CHEIOSCONTEINERES CHEIOS,1620,EXP,SANTOS
15/01/2025 13:00:00,CMA CGM MAUPASSANT,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800,Other,SANTOS
16/01/2025 21:00:00,JAMAICA EXPRESS,CONTEINERES CHEIOSCONTEINERES CHEIOS,3220210,Other,SANTOS
17/01/2025 07:25:00,NC BRUMA (REB S/L),CONTEINERES CHEIOSCONTEINERES CHEIOS,45006300,Other,SANTOS
19/01/2025 01:48:00,NAVEGANTES EXPRESS,CONTEINERES CHEIOSCONTEINERES CHEIOS,21852180,Other,SANTOS
19/01/2025 11:48:00,CMA CGM PLATON,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800,Other,SANTOS
20/01/2025 06:12:00,BF HAMBURG,CONTEINERES CHEIOSCONTEINERES CHEIOS,126001800,Other,SANTOS
20/01/2025 08:42:00,MSC AGADIR,CONTEINERES CHEIOSCONTEINERES CHEIOS,180001800,Other,SANTOS
20/01/2025 17:30:00,MSC GAYANE,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000,Other,SANTOS
20/01/2025 20:30:00,ZIM BALTIMORE,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800,Other,SANTOS
20/01/2025 20:35:00,LOG-IN POLARIS,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200,Other,SANTOS
21/01/2025,ALESSIA,CONTEINERES CHEIOSCONTEINERES CHEIOS,108003600,Other,SANTOS
21/01/2025,ALS VESTA,CONTEINERES CHEIOSCONTEINERES CHEIOS,54005400,Other,SANTOS
